trip_id,date,hour,city,service,payment_method,fare,distance_km,duration_minute,rating,available_fleet,demand_city_hour,status,customer_id,driver_id,vehicle_id
TRIP00022,2025-01-21,19,Bandung,Bluebird,Debit/Credit,38109.0,5.83,27.1,4.9,268,1,Completed,CUST0115,DRV0319,VH0344
TRIP00023,2025-02-02,15,Jakarta,Bluebird,QRIS,57514.0,7.1,30.6,4.7,681,2,Completed,CUST0494,DRV0955,VH1001
TRIP00024,2025-03-17,23,Semarang,Bluebird,QRIS,16296.0,3.68,18.0,4.9,208,1,Completed,CUST0062,DRV0594,VH0892
TRIP00025,2025-02-27,17,Jakarta,Bluebird,Cash,58960.0,11.51,57.1,4.5,634,3,Completed,CUST0787,DRV0992,VH0423
TRIP00026,2025-01-22,7,Jakarta,Bluebird,Cash,45649.0,10.15,47.4,4.6,638,3,Completed,CUST0497,DRV0793,VH0167
TRIP00027,2025-03-30,17,Jakarta,Bluebird,QRIS,40792.0,10.98,38.2,4.3,630,3,Completed,CUST0636,DRV0353,VH0269
TRIP00028,2025-02-18,11,Surabaya,Bluebird,Cash,29981.0,2.82,5.0,4.4,289,1,Completed,CUST0080,DRV0355,VH1218
TRIP00029,2025-02-28,18,Bandung,Silver Bird,E-Wallet,58335.0,6.52,44.0,4.4,217,2,Completed,CUST0659,DRV0106,VH0930
TRIP00030,2025-02-11,6,Bandung,Silver Bird,Debit/Credit,54294.0,6.16,33.9,4.6,237,1,Completed,CUST0485,DRV0418,VH1148
TRIP00031,2025-03-01,8,Jakarta,Bluebird,E-Wallet,46206.0,7.66,36.4,4.5,648,1,Completed,CUST0022,DRV0642,VH1295
TRIP00032,2025-03-21,20,Jakarta,Bluebird,Debit/Credit,30740.0,6.65,34.4,4.1,685,2,Completed,CUST0595,DRV0205,VH1082
TRIP00033,2025-01-15,9,Bandung,Bluebird,E-Wallet,24571.0,5.96,23.9,5.0,262,1,Completed,CUST0324,DRV0565,VH0880
TRIP00034,2025-03-03,19,Medan,Bluebird,Debit/Credit,52591.0,10.05,46.6,4.4,112,1,Completed,CUST0517,DRV0189,VH0059
TRIP00035,2025-03-03,10,Medan,Bluebird,Debit/Credit,28180.0,1.76,8.0,4.7,226,2,Completed,CUST0261,DRV0543,VH0450
TRIP00036,2025-02-16,17,Jakarta,Silver Bird,E-Wallet,115361.0,13.83,60.2,4.6,621,1,Completed,CUST0792,DRV0258,VH0217
TRIP00037,2025-03-03,18,Bandung,Bluebird,Debit/Credit,53289.0,8.45,42.5,3.9,230,2,Completed,CUST0129,DRV0453,VH0244
TRIP00038,2025-02-20,15,Semarang,Bluebird,Cash,37973.0,6.67,25.4,4.6,206,1,Completed,CUST0626,DRV0078,VH0103
TRIP00039,2025-02-24,10,Jakarta,Bluebird,Debit/Credit,59944.0,11.22,35.1,4.5,724,2,Completed,CUST0284,DRV1047,VH0517
TRIP00040,2025-03-05,8,Medan,Bluebird,E-Wallet,22618.0,3.14,21.8,4.6,154,2,Completed,CUST0047,DRV0503,VH0264
TRIP00041,2025-01-03,5,Jakarta,Bluebird,E-Wallet,26734.0,6.51,16.7,4.7,687,1,Completed,CUST0188,DRV0185,VH0241
TRIP00042,2025-02-20,10,Semarang,Bluebird Van,Debit/Credit,46111.0,6.44,26.9,5.0,202,1,Completed,CUST0019,DRV0547,VH0861
TRIP00043,2025-01-07,17,Surabaya,Bluebird,Debit/Credit,47682.0,12.1,66.0,4.4,197,1,Completed,CUST0599,DRV0049,VH0734
TRIP00044,2025-01-21,21,Semarang,Bluebird,E-Wallet,36397.0,6.66,24.7,4.9,206,1,Completed,CUST0654,DRV0168,VH1253
TRIP00045,2025-03-14,20,Surabaya,Bluebird,Cash,65566.0,9.35,29.2,4.7,275,1,Completed,CUST0763,DRV0021,VH1476
TRIP00046,2025-02-08,18,Jakarta,Bluebird Van,Debit/Credit,55652.0,6.73,34.0,4.2,600,2,Completed,CUST0008,DRV0392,VH0931
TRIP00047,2025-01-18,19,Semarang,Bluebird,QRIS,35287.0,8.26,35.2,4.1,130,1,Completed,CUST0037,DRV0903,VH0455
TRIP00048,2025-01-04,17,Jakarta,Bluebird,Debit/Credit,,,,,639,4,Cancelled,CUST0598,DRV1129,VH0986
TRIP00049,2025-03-30,9,Jakarta,Golden Bird,Debit/Credit,88028.0,11.49,52.9,4.5,597,3,Completed,CUST0072,DRV0229,VH0544
TRIP00050,2025-03-01,21,Surabaya,Bluebird,Cash,41743.0,7.76,43.0,4.5,241,1,Completed,CUST0381,DRV0352,VH0865
TRIP00051,2025-01-14,17,Surabaya,Bluebird,Cash,62540.0,10.03,56.3,4.3,200,1,Completed,CUST0266,DRV0225,VH0374
TRIP00052,2025-01-09,16,Semarang,Bluebird,Debit/Credit,52209.0,8.53,41.0,4.4,121,1,Completed,CUST0067,DRV0234,VH1048
TRIP00053,2025-03-31,7,Jakarta,Bluebird,Cash,76927.0,10.02,53.1,4.9,591,1,Completed,CUST0653,DRV0266,VH1330
TRIP00054,2025-02-22,14,Medan,Bluebird,Cash,67537.0,10.84,40.6,4.3,230,1,Completed,CUST0064,DRV0858,VH0374
TRIP00055,2025-01-02,14,Surabaya,Bluebird,E-Wallet,59673.0,11.31,45.5,4.7,251,1,Completed,CUST0030,DRV0314,VH1211
TRIP00056,2025-03-25,20,Jakarta,Bluebird,QRIS,50687.0,8.12,29.9,4.6,678,1,Completed,CUST0557,DRV0499,VH0961
TRIP00057,2025-03-01,16,Jakarta,Bluebird,QRIS,51825.0,10.43,55.1,4.3,603,1,Completed,CUST0646,DRV0877,VH0640
TRIP00058,2025-03-12,12,Jakarta,Bluebird,E-Wallet,,,,,684,1,Cancelled,CUST0016,DRV0211,VH0112
TRIP00059,2025-02-13,22,Jakarta,Bluebird,Cash,46697.0,5.73,28.5,5.0,680,1,Completed,CUST0278,DRV0099,VH0493
TRIP00060,2025-01-08,7,Semarang,Bluebird,QRIS,44847.0,5.99,38.4,4.5,130,1,Completed,CUST0731,DRV0345,VH0294
TRIP00061,2025-02-16,13,Surabaya,Bluebird Van,Debit/Credit,50603.0,7.77,37.5,4.7,242,1,Completed,CUST0277,DRV0904,VH0422
TRIP00062,2025-02-04,5,Surabaya,Bluebird,Debit/Credit,24725.0,3.02,15.9,4.8,285,1,Completed,CUST0221,DRV0524,VH0149
TRIP00063,2025-03-19,18,Semarang,Bluebird,E-Wallet,61743.0,9.38,37.5,4.6,97,1,Completed,CUST0193,DRV0118,VH0151
TRIP00064,2025-03-22,21,Jakarta,Bluebird,E-Wallet,21764.0,1.0,15.9,4.8,694,2,Completed,CUST0670,DRV0600,VH1198
TRIP00065,2025-02-05,10,Medan,Bluebird,Debit/Credit,61621.0,15.64,75.2,3.9,226,1,Completed,CUST0024,DRV0856,VH1221
TRIP00066,2025-02-19,20,Bandung,Bluebird,Cash,60929.0,11.51,44.4,4.4,295,1,Completed,CUST0141,DRV0209,VH1279
TRIP00067,2025-01-04,10,Medan,Bluebird,Cash,36220.0,6.72,24.3,4.6,244,1,Completed,CUST0734,DRV0481,VH1438
TRIP00068,2025-01-02,21,Jakarta,Bluebird,QRIS,56809.0,8.53,38.4,4.8,706,2,Completed,CUST0026,DRV0923,VH0168
TRIP00069,2025-01-06,18,Semarang,Bluebird,Cash,52463.0,7.71,42.7,4.5,102,1,Completed,CUST0098,DRV0329,VH1106
TRIP00070,2025-02-23,19,Jakarta,Silver Bird,Debit/Credit,68198.0,6.73,33.5,4.3,614,2,Completed,CUST0276,DRV0417,VH0070
TRIP00071,2025-01-04,2,Jakarta,Bluebird,Debit/Credit,36865.0,9.08,27.6,4.5,719,1,Completed,CUST0573,DRV1107,VH0426
TRIP00072,2025-02-23,22,Surabaya,Bluebird,Cash,33710.0,7.57,32.4,3.8,252,1,Completed,CUST0243,DRV0254,VH1426
TRIP00073,2025-03-04,18,Jakarta,Bluebird,E-Wallet,55487.0,8.22,44.7,4.3,649,3,Completed,CUST0433,DRV0945,VH0525
TRIP00074,2025-01-18,10,Bandung,Bluebird,Cash,35506.0,7.54,35.2,4.6,345,1,Completed,CUST0009,DRV0005,VH0212
TRIP00075,2025-03-31,19,Bandung,Bluebird,QRIS,10000.0,3.06,22.7,4.7,217,2,Completed,CUST0272,DRV0303,VH0102
TRIP00076,2025-02-13,10,Surabaya,Bluebird,Debit/Credit,49242.0,8.12,30.6,5.0,246,1,Completed,CUST0772,DRV0980,VH1362
TRIP00077,2025-02-03,20,Jakarta,Bluebird,QRIS,42185.0,8.99,42.9,4.6,700,1,Completed,CUST0032,DRV0607,VH0333
TRIP00078,2025-03-15,7,Jakarta,Silver Bird,QRIS,86377.0,8.89,44.0,4.6,615,1,Completed,CUST0605,DRV0964,VH0205
TRIP00079,2025-03-03,18,Jakarta,Golden Bird,Cash,73508.0,7.85,36.1,4.2,644,3,Completed,CUST0479,DRV0736,VH0229
TRIP00080,2025-01-14,16,Bandung,Bluebird,QRIS,55366.0,10.41,48.4,4.3,266,1,Completed,CUST0128,DRV0390,VH1213
TRIP00081,2025-02-17,7,Jakarta,Bluebird,Debit/Credit,37300.0,7.44,25.5,4.6,600,1,Completed,CUST0749,DRV0850,VH1123
TRIP00082,2025-01-15,9,Jakarta,Golden Bird,E-Wallet,95890.0,9.18,43.4,4.3,619,3,Completed,CUST0017,DRV0819,VH1435
TRIP00083,2025-03-13,1,Jakarta,Bluebird,QRIS,65863.0,12.39,54.4,4.1,680,2,Completed,CUST0553,DRV0012,VH0954
TRIP00084,2025-03-19,14,Jakarta,Bluebird,QRIS,40433.0,8.26,35.4,4.1,672,1,Completed,CUST0473,DRV0337,VH0460
TRIP00085,2025-03-28,10,Bandung,Bluebird,Debit/Credit,33911.0,7.64,41.2,4.2,329,1,Completed,CUST0301,DRV0607,VH1218
TRIP00086,2025-03-03,17,Medan,Bluebird,E-Wallet,39268.0,7.21,35.0,4.8,149,1,Completed,CUST0784,DRV0129,VH0555
TRIP00087,2025-02-09,10,Jakarta,Bluebird,Cash,51727.0,12.21,52.3,4.3,726,1,Completed,CUST0788,DRV0011,VH0890
TRIP00088,2025-03-26,10,Bandung,Bluebird,QRIS,46078.0,6.23,30.5,4.5,345,1,Completed,CUST0042,DRV0490,VH0636
TRIP00089,2025-03-21,18,Surabaya,Bluebird,E-Wallet,41872.0,11.85,71.8,4.1,202,2,Completed,CUST0778,DRV0272,VH1044
TRIP00090,2025-03-23,5,Jakarta,Bluebird,Debit/Credit,42822.0,8.19,33.8,4.9,690,1,Completed,CUST0052,DRV0881,VH0931
TRIP00091,2025-02-22,20,Surabaya,Silver Bird,Cash,52945.0,5.42,14.4,4.7,264,1,Completed,CUST0188,DRV1116,VH0311
TRIP00092,2025-01-24,20,Jakarta,Bluebird,Debit/Credit,57743.0,10.54,48.1,4.6,697,2,Completed,CUST0151,DRV0009,VH0842
TRIP00093,2025-01-26,17,Bandung,Bluebird,Cash,28014.0,6.09,45.4,4.2,231,3,Completed,CUST0244,DRV0887,VH0680
TRIP00094,2025-03-30,16,Jakarta,Bluebird,QRIS,60151.0,10.36,47.2,4.3,631,2,Completed,CUST0491,DRV1147,VH0996
TRIP00095,2025-03-01,20,Surabaya,Bluebird,QRIS,10000.0,1.0,9.9,4.8,280,1,Completed,CUST0127,DRV0776,VH0079
TRIP00096,2025-02-10,8,Surabaya,Silver Bird,E-Wallet,62831.0,8.02,48.7,4.9,195,2,Completed,CUST0717,DRV0281,VH1194
TRIP00097,2025-01-29,6,Jakarta,Bluebird,QRIS,46134.0,7.12,43.6,4.8,607,1,Completed,CUST0409,DRV0458,VH0246
TRIP00098,2025-01-15,9,Jakarta,Bluebird,Cash,36462.0,5.31,30.1,4.8,612,3,Completed,CUST0612,DRV0936,VH0783
TRIP00099,2025-02-14,19,Semarang,Bluebird,Cash,24352.0,5.14,23.7,4.7,95,1,Completed,CUST0344,DRV0451,VH0472
TRIP00100,2025-03-06,5,Bandung,Bluebird,E-Wallet,43679.0,5.28,20.6,5.0,324,1,Completed,CUST0591,DRV0791,VH1123
TRIP00101,2025-03-30,16,Bandung,Bluebird,Cash,39365.0,6.86,38.7,4.7,238,1,Completed,CUST0695,DRV0812,VH0322
TRIP00102,2025-03-12,23,Semarang,Bluebird,QRIS,28040.0,2.7,17.2,4.1,201,1,Completed,CUST0098,DRV0056,VH0141
TRIP00103,2025-01-09,20,Surabaya,Bluebird,Cash,62776.0,8.95,38.1,4.3,275,1,Completed,CUST0068,DRV0708,VH1133
TRIP00104,2025-03-29,16,Bandung,Bluebird,Debit/Credit,67905.0,11.1,49.7,4.5,220,1,Completed,CUST0028,DRV0379,VH0313
TRIP00105,2025-01-01,6,Medan,Bluebird,QRIS,56063.0,8.34,45.2,4.0,151,1,Completed,CUST0029,DRV1010,VH1145
TRIP00106,2025-01-08,19,Medan,Bluebird,QRIS,53626.0,9.93,53.7,4.1,165,1,Completed,CUST0634,DRV0023,VH0099
TRIP00107,2025-03-29,17,Bandung,Bluebird Van,QRIS,74444.0,10.28,51.8,4.2,255,2,Completed,CUST0212,DRV0772,VH0494
TRIP00108,2025-03-04,7,Bandung,Silver Bird,E-Wallet,81963.0,10.71,45.0,4.4,210,1,Completed,CUST0688,DRV0231,VH1168
TRIP00109,2025-01-11,7,Jakarta,Bluebird Van,Debit/Credit,,,,,605,1,Cancelled,CUST0617,DRV0210,VH0110
TRIP00110,2025-03-22,21,Semarang,Bluebird Van,Debit/Credit,42765.0,5.3,27.8,4.6,174,1,Completed,CUST0480,DRV1186,VH0484
TRIP00111,2025-01-08,17,Surabaya,Bluebird,E-Wallet,36676.0,5.84,21.7,4.9,187,1,Completed,CUST0072,DRV0866,VH0130
TRIP00112,2025-02-04,19,Jakarta,Bluebird,E-Wallet,61492.0,10.85,36.7,4.5,607,2,Completed,CUST0491,DRV1194,VH1424
TRIP00113,2025-02-04,20,Medan,Bluebird,QRIS,49086.0,9.62,49.0,4.3,205,1,Completed,CUST0110,DRV0899,VH0840
TRIP00114,2025-02-02,16,Bandung,Golden Bird,E-Wallet,73432.0,9.33,48.9,4.1,228,2,Completed,CUST0113,DRV0873,VH0506
TRIP00115,2025-01-05,15,Jakarta,Bluebird,Cash,76496.0,14.17,60.9,4.5,685,2,Completed,CUST0397,DRV0363,VH0769
TRIP00116,2025-02-10,14,Bandung,Bluebird Van,QRIS,35904.0,7.03,20.6,4.5,294,1,Completed,CUST0232,DRV0475,VH0210
TRIP00117,2025-01-28,10,Jakarta,Bluebird,E-Wallet,65642.0,9.78,44.3,4.2,696,1,Completed,CUST0043,DRV0195,VH0361
TRIP00118,2025-01-07,14,Medan,Silver Bird,Cash,39167.0,4.56,20.2,4.8,233,1,Completed,CUST0265,DRV0933,VH0154
TRIP00119,2025-03-14,18,Jakarta,Bluebird,Cash,,,,,595,1,Cancelled,CUST0046,DRV1036,VH0533
TRIP00120,2025-03-13,17,Medan,Bluebird,QRIS,42493.0,6.49,43.9,4.3,166,1,Completed,CUST0570,DRV0784,VH1384
TRIP00121,2025-01-12,20,Bandung,Silver Bird,Debit/Credit,56866.0,6.08,25.4,4.8,323,1,Completed,CUST0225,DRV1086,VH0310
TRIP00122,2025-02-03,14,Jakarta,Bluebird,QRIS,,,,,685,1,Cancelled,CUST0652,DRV0529,VH0474
TRIP00123,2025-02-02,17,Semarang,Silver Bird,Debit/Credit,51655.0,4.87,24.8,5.0,122,2,Completed,CUST0101,DRV0271,VH0736
TRIP00124,2025-02-17,17,Bandung,Bluebird,E-Wallet,32715.0,4.81,13.1,4.7,232,1,Completed,CUST0281,DRV0538,VH0636
TRIP00125,2025-01-23,16,Jakarta,Bluebird,Debit/Credit,32446.0,6.93,39.9,4.7,632,1,Completed,CUST0238,DRV0657,VH0876
TRIP00126,2025-03-03,18,Bandung,Bluebird,Cash,13973.0,2.9,21.4,4.2,253,2,Completed,CUST0601,DRV0065,VH0300
TRIP00127,2025-03-29,9,Medan,Bluebird,E-Wallet,27761.0,5.14,27.2,4.5,141,1,Completed,CUST0246,DRV0862,VH0341
TRIP00128,2025-02-06,15,Jakarta,Bluebird,Cash,,,,,712,1,Cancelled,CUST0691,DRV0490,VH1028
TRIP00129,2025-02-13,7,Jakarta,Bluebird,Cash,72276.0,10.71,41.2,4.3,612,3,Completed,CUST0743,DRV1092,VH0635
TRIP00130,2025-03-27,12,Jakarta,Bluebird,Cash,72366.0,11.28,40.9,4.6,689,1,Completed,CUST0099,DRV0362,VH0554
TRIP00131,2025-02-04,15,Jakarta,Bluebird,Debit/Credit,,,,,688,1,Cancelled,CUST0727,DRV0572,VH1193
TRIP00132,2025-03-06,17,Medan,Bluebird,Cash,,,,,138,1,Cancelled,CUST0200,DRV0995,VH0420
TRIP00133,2025-02-16,22,Bandung,Bluebird,Cash,14296.0,1.69,7.2,4.6,297,1,Completed,CUST0256,DRV0769,VH1304
TRIP00134,2025-03-19,17,Jakarta,Silver Bird,QRIS,50621.0,4.81,30.3,4.5,618,2,Completed,CUST0437,DRV1043,VH0737
TRIP00135,2025-01-03,18,Jakarta,Bluebird,QRIS,52765.0,6.09,29.9,4.9,607,1,Completed,CUST0494,DRV0545,VH0389
TRIP00136,2025-01-01,15,Jakarta,Bluebird,Debit/Credit,33783.0,7.09,22.2,5.0,674,1,Completed,CUST0436,DRV0979,VH1209
TRIP00137,2025-01-05,17,Semarang,Bluebird,E-Wallet,23194.0,5.9,43.4,4.5,81,1,Completed,CUST0707,DRV0932,VH1347
TRIP00138,2025-03-31,6,Jakarta,Bluebird,Debit/Credit,55264.0,7.16,53.5,4.6,599,3,Completed,CUST0024,DRV0091,VH0011
TRIP00139,2025-01-14,9,Semarang,Bluebird,Cash,23207.0,7.46,38.8,4.6,116,1,Completed,CUST0363,DRV0973,VH0608
TRIP00140,2025-01-27,12,Bandung,Bluebird Van,Cash,39381.0,7.11,23.1,4.9,326,1,Completed,CUST0270,DRV0238,VH0278
TRIP00141,2025-01-09,15,Jakarta,Golden Bird,E-Wallet,57293.0,6.33,35.6,4.3,686,3,Completed,CUST0790,DRV0462,VH1163
TRIP00142,2025-03-20,5,Medan,Bluebird,Cash,10000.0,1.0,5.0,4.6,221,2,Completed,CUST0738,DRV1048,VH1018
TRIP00143,2025-01-15,7,Bandung,Bluebird,E-Wallet,37407.0,4.02,21.7,4.8,264,2,Completed,CUST0228,DRV0851,VH1110
TRIP00144,2025-03-31,9,Surabaya,Golden Bird,Cash,,,,,153,1,Cancelled,CUST0128,DRV0921,VH0231
TRIP00145,2025-02-11,22,Semarang,Bluebird,E-Wallet,29310.0,6.06,16.1,4.5,180,1,Completed,CUST0543,DRV0907,VH1475
TRIP00146,2025-03-18,11,Jakarta,Bluebird,QRIS,43769.0,5.11,18.5,4.2,695,3,Completed,CUST0763,DRV0777,VH0138
TRIP00147,2025-02-20,15,Jakarta,Bluebird,QRIS,53722.0,7.03,22.1,4.6,681,1,Completed,CUST0058,DRV1030,VH0997
TRIP00148,2025-03-04,8,Surabaya,Bluebird,Debit/Credit,27691.0,4.61,26.5,4.9,167,2,Completed,CUST0325,DRV0570,VH0531
TRIP00149,2025-02-21,17,Jakarta,Bluebird Van,Debit/Credit,50388.0,8.12,40.7,4.1,597,1,Completed,CUST0659,DRV0612,VH1362
TRIP00150,2025-01-04,10,Jakarta,Bluebird,QRIS,54300.0,5.28,16.8,4.4,701,3,Completed,CUST0106,DRV0634,VH1180
TRIP00151,2025-01-23,8,Jakarta,Bluebird,Debit/Credit,41797.0,5.95,29.2,4.7,609,2,Completed,CUST0437,DRV1181,VH0607
TRIP00152,2025-01-15,15,Jakarta,Bluebird,Debit/Credit,31214.0,4.57,16.7,4.7,718,3,Completed,CUST0085,DRV0983,VH1041
TRIP00153,2025-02-12,0,Medan,Silver Bird,Cash,,,,,229,1,Cancelled,CUST0002,DRV0463,VH0792
TRIP00154,2025-01-29,0,Jakarta,Golden Bird,Cash,59730.0,5.9,22.6,4.4,682,1,Completed,CUST0437,DRV0663,VH1285
TRIP00155,2025-02-05,8,Bandung,Bluebird,QRIS,45740.0,9.72,52.7,4.3,268,1,Completed,CUST0451,DRV0990,VH1184
TRIP00156,2025-01-13,5,Bandung,Bluebird,Cash,45148.0,8.22,37.0,4.9,312,1,Completed,CUST0565,DRV0431,VH1333
TRIP00157,2025-02-01,7,Bandung,Bluebird,Debit/Credit,48584.0,6.79,39.2,4.2,212,2,Completed,CUST0441,DRV0878,VH0081
TRIP00158,2025-03-12,11,Jakarta,Golden Bird,Cash,38279.0,6.11,34.2,5.0,704,1,Completed,CUST0222,DRV0425,VH0697
TRIP00159,2025-02-28,19,Medan,Silver Bird,QRIS,64040.0,8.64,34.7,4.3,148,1,Completed,CUST0025,DRV0105,VH0213
TRIP00160,2025-03-27,16,Jakarta,Bluebird,Cash,68282.0,10.57,47.0,4.6,639,2,Completed,CUST0035,DRV0252,VH1451
TRIP00161,2025-01-28,15,Surabaya,Bluebird,QRIS,40130.0,8.43,46.1,4.4,250,1,Completed,CUST0669,DRV0645,VH1366
TRIP00162,2025-03-07,10,Medan,Bluebird,Cash,77394.0,12.31,47.4,4.1,196,1,Completed,CUST0343,DRV1123,VH1383
TRIP00163,2025-02-11,21,Bandung,Bluebird,Cash,,,,,343,2,Cancelled,CUST0366,DRV0178,VH0206
TRIP00164,2025-02-14,13,Bandung,Bluebird,Cash,50227.0,9.74,37.5,4.7,315,1,Completed,CUST0657,DRV1156,VH1360
TRIP00165,2025-03-03,7,Bandung,Bluebird,E-Wallet,35135.0,7.4,38.5,4.5,232,1,Completed,CUST0336,DRV0720,VH1285
TRIP00166,2025-02-26,17,Jakarta,Bluebird,Cash,51405.0,10.53,31.8,4.9,621,2,Completed,CUST0433,DRV1081,VH0900
TRIP00167,2025-01-06,7,Medan,Bluebird,Debit/Credit,57619.0,5.11,37.8,4.9,111,1,Completed,CUST0457,DRV0892,VH0748
TRIP00168,2025-01-28,11,Medan,Bluebird,Cash,54060.0,6.12,19.5,4.4,228,1,Completed,CUST0790,DRV0409,VH1267
TRIP00169,2025-01-28,15,Jakarta,Bluebird,Cash,51319.0,9.55,40.5,4.2,671,2,Completed,CUST0479,DRV0954,VH0877
TRIP00170,2025-02-13,20,Bandung,Bluebird,QRIS,37447.0,8.03,30.5,4.3,328,1,Completed,CUST0398,DRV0262,VH0582
TRIP00171,2025-03-25,15,Semarang,Bluebird,QRIS,45946.0,8.32,24.3,4.5,195,2,Completed,CUST0343,DRV0742,VH0395
TRIP00172,2025-01-30,18,Semarang,Bluebird,E-Wallet,54868.0,10.1,40.9,4.8,84,1,Completed,CUST0789,DRV0654,VH0337
TRIP00173,2025-03-03,23,Bandung,Bluebird,E-Wallet,,,,,305,1,Cancelled,CUST0691,DRV0575,VH0799
TRIP00174,2025-03-16,7,Bandung,Bluebird,Debit/Credit,27344.0,4.08,31.9,4.5,265,3,Completed,CUST0280,DRV0118,VH0781
TRIP00175,2025-03-30,9,Jakarta,Golden Bird,Debit/Credit,93277.0,9.19,43.7,4.5,615,3,Completed,CUST0352,DRV0971,VH0279
TRIP00176,2025-03-03,13,Semarang,Silver Bird,QRIS,23924.0,4.63,14.9,5.0,157,1,Completed,CUST0197,DRV0308,VH0249
TRIP00177,2025-01-01,13,Jakarta,Golden Bird,QRIS,155296.0,18.63,68.0,4.7,685,2,Completed,CUST0225,DRV0490,VH0833
TRIP00178,2025-01-27,13,Bandung,Bluebird,E-Wallet,59513.0,8.55,42.6,4.6,310,2,Completed,CUST0047,DRV0757,VH1054
TRIP00179,2025-03-03,21,Jakarta,Bluebird,Debit/Credit,38955.0,8.27,43.3,3.8,708,1,Completed,CUST0185,DRV0648,VH0912
TRIP00180,2025-03-18,18,Jakarta,Bluebird,Debit/Credit,55827.0,6.95,44.1,4.5,600,1,Completed,CUST0162,DRV0608,VH0939
TRIP00181,2025-01-03,17,Jakarta,Bluebird,Cash,32455.0,7.06,39.7,4.8,613,1,Completed,CUST0643,DRV0737,VH1155
TRIP00182,2025-03-11,10,Semarang,Bluebird,Cash,43038.0,6.89,29.6,4.7,185,1,Completed,CUST0295,DRV0024,VH0524
TRIP00183,2025-03-13,19,Jakarta,Bluebird,E-Wallet,43944.0,8.84,34.8,4.8,607,1,Completed,CUST0092,DRV0753,VH0460
TRIP00184,2025-01-27,22,Bandung,Golden Bird,QRIS,51725.0,5.63,20.8,4.8,312,2,Completed,CUST0587,DRV1001,VH0395
TRIP00185,2025-01-09,19,Jakarta,Bluebird,QRIS,35851.0,7.68,33.9,4.3,602,1,Completed,CUST0650,DRV0349,VH0413
