date,city,hour,demand,avg_fare,avg_duration,avg_rating,available_fleet,day_of_week,month,is_peak
2025-01-02,Bandung,21,1,24688.0,16.1,4.7,297.0,3,1,0
2025-01-02,Jakarta,6,1,39081.0,26.2,5.0,637.0,3,1,1
2025-01-02,Jakarta,7,2,36330.0,41.5,4.3,604.5,3,1,1
2025-01-02,Jakarta,10,1,43024.0,27.5,4.4,696.0,3,1,0
2025-01-02,Jakarta,12,2,63884.5,41.45,4.9,691.5,3,1,0
2025-01-02,Jakarta,16,1,73479.0,44.0,4.2,596.0,3,1,1
2025-01-02,Jakarta,18,1,92899.0,50.2,4.7,635.0,3,1,1
2025-01-02,Jakarta,19,2,66711.5,49.95,4.05,594.5,3,1,1
2025-01-02,Jakarta,21,2,47907.0,35.349999999999994,4.85,698.5,3,1,0
2025-01-02,Jakarta,23,1,43596.0,29.1,4.8,678.0,3,1,0
2025-01-02,Medan,9,1,64944.0,53.7,4.4,158.0,3,1,1
2025-01-02,Medan,17,1,33505.0,35.2,4.5,118.0,3,1,1
2025-01-02,Semarang,10,1,67063.0,25.6,5.0,196.0,3,1,0
2025-01-02,Semarang,11,1,34738.0,37.1,4.5,178.0,3,1,0
2025-01-02,Semarang,17,2,46636.5,21.55,4.7,115.0,3,1,1
2025-01-02,Semarang,18,1,53001.0,18.0,4.8,123.0,3,1,1
2025-01-02,Semarang,20,1,34437.0,28.4,4.8,168.0,3,1,0
2025-01-02,Surabaya,9,1,35021.0,43.7,3.8,172.0,3,1,1
2025-01-02,Surabaya,14,1,59673.0,45.5,4.7,251.0,3,1,0
2025-01-02,Surabaya,17,1,48745.0,25.8,4.7,199.0,3,1,1
2025-01-03,Bandung,6,1,69737.0,52.3,4.4,210.0,4,1,1
2025-01-03,Bandung,7,1,50437.0,37.1,4.6,238.0,4,1,1
2025-01-03,Bandung,10,2,34131.5,31.5,4.85,308.0,4,1,0
2025-01-03,Bandung,15,1,18558.0,36.7,4.4,307.0,4,1,0
2025-01-03,Bandung,16,1,50841.0,54.0,4.5,225.0,4,1,1
2025-01-03,Bandung,18,1,28018.0,7.0,4.7,259.0,4,1,1
2025-01-03,Bandung,20,1,29087.0,17.1,4.8,346.0,4,1,0
2025-01-03,Jakarta,5,1,26734.0,16.7,4.7,687.0,4,1,0
2025-01-03,Jakarta,7,1,64656.0,46.1,4.7,614.0,4,1,1
2025-01-03,Jakarta,9,1,52881.0,44.1,4.4,596.0,4,1,1
2025-01-03,Jakarta,10,1,78580.0,47.5,4.8,690.0,4,1,0
2025-01-03,Jakarta,11,1,50568.0,25.1,4.6,683.0,4,1,0
2025-01-03,Jakarta,12,1,20188.0,20.6,5.0,709.0,4,1,0
2025-01-03,Jakarta,13,1,47379.0,30.1,5.0,704.0,4,1,0
2025-01-03,Jakarta,15,4,49626.0,33.7,4.475,702.5,4,1,0
2025-01-03,Jakarta,16,1,100300.0,52.0,4.3,647.0,4,1,1
2025-01-03,Jakarta,17,1,32455.0,39.7,4.8,613.0,4,1,1
2025-01-03,Jakarta,18,1,52765.0,29.9,4.9,607.0,4,1,1
2025-01-03,Jakarta,19,1,53144.0,25.0,4.6,647.0,4,1,1
2025-01-03,Jakarta,21,1,94163.0,41.6,4.6,723.0,4,1,0
2025-01-03,Jakarta,22,1,24686.0,6.8,4.6,673.0,4,1,0
2025-01-03,Medan,6,1,79260.0,61.1,4.2,162.0,4,1,1
2025-01-03,Semarang,7,1,52973.0,39.4,4.4,88.0,4,1,1
2025-01-03,Semarang,16,1,54423.0,27.7,4.5,96.0,4,1,1
2025-01-03,Semarang,18,1,48576.0,23.5,4.7,72.0,4,1,1
2025-01-03,Semarang,21,1,10000.0,5.0,4.7,181.0,4,1,0
2025-01-03,Surabaya,5,1,27018.0,29.7,4.3,243.0,4,1,0
2025-01-03,Surabaya,10,1,30241.0,24.0,4.5,233.0,4,1,0
2025-01-03,Surabaya,14,1,50198.0,49.4,4.2,233.0,4,1,0
2025-01-03,Surabaya,17,2,42330.0,32.8,4.55,186.5,4,1,1
2025-01-03,Surabaya,18,1,25087.0,40.0,4.4,155.0,4,1,1
2025-01-03,Surabaya,19,1,38076.0,49.4,4.7,190.0,4,1,1
2025-01-03,Surabaya,20,1,34977.0,25.6,5.0,272.0,4,1,0
2025-01-04,Bandung,12,2,70831.5,41.9,4.2,296.5,5,1,0
2025-01-04,Bandung,13,1,54635.0,35.2,4.7,306.0,5,1,0
2025-01-04,Bandung,14,1,66015.0,33.2,4.8,349.0,5,1,0
2025-01-04,Bandung,19,1,56534.0,59.0,4.7,256.0,5,1,1
2025-01-04,Jakarta,2,1,36865.0,27.6,4.5,719.0,5,1,0
2025-01-04,Jakarta,5,1,26227.0,33.3,4.7,720.0,5,1,0
2025-01-04,Jakarta,8,1,39812.0,26.3,4.5,605.0,5,1,1
2025-01-04,Jakarta,9,1,33286.0,36.9,5.0,608.0,5,1,1
2025-01-04,Jakarta,10,3,37171.666666666664,22.733333333333334,4.666666666666667,688.3333333333334,5,1,0
2025-01-04,Jakarta,11,1,31536.0,34.5,5.0,688.0,5,1,0
2025-01-04,Jakarta,14,1,17733.0,26.2,4.6,702.0,5,1,0
2025-01-04,Jakarta,15,1,79949.0,71.4,4.2,681.0,5,1,0
2025-01-04,Jakarta,17,3,29744.0,10.933333333333332,4.466666666666666,616.3333333333334,5,1,1
2025-01-04,Jakarta,18,1,10000.0,11.8,4.5,603.0,5,1,1
2025-01-04,Jakarta,20,1,64597.0,46.9,4.0,683.0,5,1,0
2025-01-04,Medan,5,1,36517.0,27.5,4.5,240.0,5,1,0
2025-01-04,Medan,8,1,30590.0,35.8,4.5,157.0,5,1,1
2025-01-04,Medan,10,1,36220.0,24.3,4.6,244.0,5,1,0
2025-01-04,Medan,18,1,75468.0,40.9,4.6,110.0,5,1,1
2025-01-04,Semarang,7,1,25455.0,36.6,4.6,110.0,5,1,1
2025-01-04,Semarang,8,2,59698.0,33.8,4.6,78.0,5,1,1
2025-01-04,Semarang,11,1,38569.0,56.4,4.3,199.0,5,1,0
2025-01-04,Semarang,18,1,29442.0,32.9,4.5,101.0,5,1,1
2025-01-04,Surabaya,12,1,36347.0,38.8,4.8,256.0,5,1,0
2025-01-04,Surabaya,20,2,27961.0,31.7,4.55,249.5,5,1,0
2025-01-05,Bandung,9,1,19692.0,15.5,4.9,246.0,6,1,1
2025-01-05,Bandung,17,2,45469.5,34.55,4.55,224.5,6,1,1
2025-01-05,Bandung,20,1,31506.0,12.2,4.8,303.0,6,1,0
2025-01-05,Jakarta,7,1,36992.0,29.5,4.5,606.0,6,1,1
2025-01-05,Jakarta,8,2,29890.0,24.0,4.75,608.0,6,1,1
2025-01-05,Jakarta,9,1,68299.0,53.4,4.1,641.0,6,1,1
2025-01-05,Jakarta,11,1,51218.0,34.6,4.0,699.0,6,1,0
2025-01-05,Jakarta,12,2,44347.5,28.85,4.2,686.5,6,1,0
2025-01-05,Jakarta,13,1,40123.0,31.5,5.0,728.0,6,1,0
2025-01-05,Jakarta,14,1,45476.0,25.0,5.0,683.0,6,1,0
2025-01-05,Jakarta,15,2,48497.5,45.3,4.75,683.5,6,1,0
2025-01-05,Jakarta,16,1,80739.0,44.7,4.2,641.0,6,1,1
2025-01-05,Jakarta,17,1,57001.0,40.9,4.7,638.0,6,1,1
2025-01-05,Jakarta,18,3,42046.0,43.1,4.3999999999999995,635.0,6,1,1
2025-01-05,Jakarta,19,1,11930.0,8.1,4.7,607.0,6,1,1
2025-01-05,Jakarta,20,1,61511.0,34.0,4.6,701.0,6,1,0
2025-01-05,Medan,6,1,22052.0,23.9,4.8,111.0,6,1,1
2025-01-05,Medan,10,1,36183.0,22.5,4.7,203.0,6,1,0
2025-01-05,Medan,12,1,47394.0,16.4,4.4,223.0,6,1,0
2025-01-05,Semarang,6,1,68198.0,40.6,4.7,85.0,6,1,1
2025-01-05,Semarang,16,1,68015.0,51.5,4.3,122.0,6,1,1
2025-01-05,Semarang,17,1,23194.0,43.4,4.5,81.0,6,1,1
2025-01-05,Semarang,22,2,53074.0,50.900000000000006,4.25,171.0,6,1,0
2025-01-05,Surabaya,7,1,96013.0,61.7,3.9,154.0,6,1,1
2025-01-05,Surabaya,8,1,94866.0,36.6,4.2,195.0,6,1,1
2025-01-05,Surabaya,9,1,37107.0,39.4,4.4,189.0,6,1,1
2025-01-05,Surabaya,10,1,40644.0,21.8,4.1,273.0,6,1,0
2025-01-05,Surabaya,14,2,74633.0,44.7,4.25,282.5,6,1,0
2025-01-05,Surabaya,16,1,69621.0,47.9,4.6,203.0,6,1,1
2025-01-05,Surabaya,19,1,57002.0,59.2,4.4,171.0,6,1,1
2025-01-06,Bandung,7,1,13437.0,26.3,4.6,256.0,0,1,1
2025-01-06,Bandung,10,2,44000.5,30.1,4.9,339.5,0,1,0
2025-01-06,Bandung,14,1,77844.0,53.2,4.2,328.0,0,1,0
2025-01-06,Bandung,15,1,64170.0,41.6,4.7,306.0,0,1,0
2025-01-06,Bandung,16,1,28252.0,38.5,4.5,215.0,0,1,1
2025-01-06,Bandung,19,1,28930.0,28.1,4.3,264.0,0,1,1
2025-01-06,Bandung,21,2,51161.5,35.45,4.6,338.5,0,1,0
2025-01-06,Bandung,22,1,28273.0,20.0,4.7,308.0,0,1,0
2025-01-06,Jakarta,16,1,59210.0,63.5,4.1,595.0,0,1,1
2025-01-06,Jakarta,17,2,32583.5,15.600000000000001,4.75,613.5,0,1,1
2025-01-06,Jakarta,19,2,38197.5,39.0,4.6,635.5,0,1,1
2025-01-06,Jakarta,20,1,49750.0,17.9,4.6,723.0,0,1,0
2025-01-06,Jakarta,21,1,40750.0,41.6,4.4,673.0,0,1,0
2025-01-06,Medan,7,1,57619.0,37.8,4.9,111.0,0,1,1
2025-01-06,Medan,9,1,59288.0,56.8,4.3,131.0,0,1,1
2025-01-06,Medan,15,1,46263.0,26.8,4.4,204.0,0,1,0
2025-01-06,Medan,16,1,29874.0,35.2,4.5,161.0,0,1,1
2025-01-06,Medan,17,1,80517.0,46.2,4.3,130.0,0,1,1
2025-01-06,Medan,18,1,50016.0,39.9,4.7,138.0,0,1,1
2025-01-06,Semarang,18,1,52463.0,42.7,4.5,102.0,0,1,1
2025-01-06,Surabaya,6,1,41788.0,34.3,4.5,193.0,0,1,1
2025-01-06,Surabaya,7,1,41432.0,50.0,4.2,182.0,0,1,1
2025-01-06,Surabaya,8,1,41200.0,36.0,4.7,151.0,0,1,1
2025-01-06,Surabaya,13,1,28575.0,18.9,4.4,238.0,0,1,0
2025-01-07,Bandung,5,1,21675.0,21.4,4.8,325.0,1,1,0
2025-01-07,Bandung,7,1,53189.0,46.7,4.9,224.0,1,1,1
2025-01-07,Bandung,13,1,31007.0,32.2,4.8,335.0,1,1,0
2025-01-07,Bandung,14,1,61009.0,49.2,4.2,312.0,1,1,0
2025-01-07,Bandung,15,1,44216.0,24.5,4.7,337.0,1,1,0
2025-01-07,Bandung,21,1,24197.0,15.4,4.5,295.0,1,1,0
2025-01-07,Jakarta,1,1,73531.0,68.6,4.2,691.0,1,1,0
2025-01-07,Jakarta,6,3,54457.666666666664,46.666666666666664,4.233333333333333,608.3333333333334,1,1,1
2025-01-07,Jakarta,9,1,40948.0,29.8,4.9,606.0,1,1,1
2025-01-07,Jakarta,11,1,93502.0,53.0,4.6,707.0,1,1,0
2025-01-07,Jakarta,13,1,29170.0,37.6,4.8,698.0,1,1,0
2025-01-07,Jakarta,17,1,35521.0,55.9,4.4,616.0,1,1,1
2025-01-07,Jakarta,18,2,47775.0,40.45,4.6,640.5,1,1,1
2025-01-07,Jakarta,19,1,47246.0,39.2,4.6,594.0,1,1,1
2025-01-07,Jakarta,21,1,52736.0,26.5,4.8,710.0,1,1,0
2025-01-07,Medan,7,1,25299.0,36.0,4.6,125.0,1,1,1
2025-01-07,Medan,9,1,54121.0,56.1,4.4,121.0,1,1,1
2025-01-07,Medan,14,1,39167.0,20.2,4.8,233.0,1,1,0
2025-01-07,Medan,17,1,65940.0,39.2,4.5,170.0,1,1,1
2025-01-07,Medan,19,1,63672.0,36.7,4.4,149.0,1,1,1
2025-01-07,Medan,21,1,59214.0,36.2,4.4,216.0,1,1,0
2025-01-07,Semarang,13,1,24602.0,23.7,4.6,159.0,1,1,0
2025-01-07,Semarang,19,1,10092.0,16.2,4.9,129.0,1,1,1
2025-01-07,Surabaya,6,1,40891.0,25.8,4.7,207.0,1,1,1
2025-01-07,Surabaya,7,2,63869.0,43.85,4.15,167.0,1,1,1
2025-01-07,Surabaya,17,1,47682.0,66.0,4.4,197.0,1,1,1
2025-01-07,Surabaya,20,1,57487.0,31.8,5.0,230.0,1,1,0
2025-01-08,Bandung,7,3,45996.333333333336,43.4,4.2,236.33333333333334,2,1,1
2025-01-08,Bandung,8,1,63971.0,49.3,4.0,263.0,2,1,1
2025-01-08,Bandung,9,1,30790.0,18.0,5.0,261.0,2,1,1
2025-01-08,Bandung,19,1,80360.0,68.4,3.9,216.0,2,1,1
2025-01-08,Jakarta,6,2,80814.0,56.35,4.45,607.5,2,1,1
2025-01-08,Jakarta,7,2,78841.0,52.6,4.35,627.0,2,1,1
2025-01-08,Jakarta,8,1,46692.0,32.4,4.7,631.0,2,1,1
2025-01-08,Jakarta,10,1,95332.0,39.3,4.4,711.0,2,1,0
2025-01-08,Jakarta,11,1,63354.0,45.7,4.6,687.0,2,1,0
2025-01-08,Jakarta,13,1,39088.0,36.3,4.2,687.0,2,1,0
2025-01-08,Jakarta,14,1,40881.0,53.5,4.5,696.0,2,1,0
2025-01-08,Jakarta,15,2,65682.0,47.45,4.4,710.0,2,1,0
2025-01-08,Jakarta,17,1,74804.0,46.4,4.2,613.0,2,1,1
2025-01-08,Jakarta,18,3,45193.0,40.5,4.6000000000000005,616.6666666666666,2,1,1
2025-01-08,Jakarta,19,3,52404.666666666664,35.6,4.366666666666666,609.3333333333334,2,1,1
2025-01-08,Jakarta,20,1,49264.0,9.7,4.8,706.0,2,1,0
2025-01-08,Jakarta,23,1,67094.0,43.1,4.3,673.0,2,1,0
2025-01-08,Medan,12,1,36371.0,25.9,4.6,196.0,2,1,0
2025-01-08,Medan,17,1,76307.0,46.7,4.4,139.0,2,1,1
2025-01-08,Medan,19,1,53626.0,53.7,4.1,165.0,2,1,1
2025-01-08,Semarang,7,1,44847.0,38.4,4.5,130.0,2,1,1
2025-01-08,Semarang,18,1,19122.0,23.5,4.7,106.0,2,1,1
2025-01-08,Surabaya,8,2,15973.0,31.7,4.75,182.5,2,1,1
2025-01-08,Surabaya,9,2,68035.5,38.05,4.45,166.0,2,1,1
2025-01-08,Surabaya,14,1,12049.0,5.0,4.8,273.0,2,1,0
2025-01-08,Surabaya,15,2,51751.0,48.599999999999994,4.5,260.0,2,1,0
2025-01-08,Surabaya,16,2,73075.5,61.3,4.3,183.0,2,1,1
2025-01-08,Surabaya,17,1,36676.0,21.7,4.9,187.0,2,1,1
2025-01-08,Surabaya,19,1,54029.0,56.7,4.2,209.0,2,1,1
2025-01-09,Bandung,12,1,45727.0,30.8,4.8,316.0,3,1,0
2025-01-09,Bandung,13,1,23122.0,17.1,4.5,344.0,3,1,0
2025-01-09,Bandung,16,2,32984.0,26.5,4.65,219.5,3,1,1
2025-01-09,Bandung,18,1,52895.0,34.0,4.4,231.0,3,1,1
2025-01-09,Jakarta,3,1,86119.0,24.8,4.7,676.0,3,1,0
2025-01-09,Jakarta,6,1,38020.0,41.6,4.6,641.0,3,1,1
2025-01-09,Jakarta,8,2,28940.5,38.8,4.9,616.5,3,1,1
2025-01-09,Jakarta,9,1,32252.0,33.2,4.6,598.0,3,1,1
2025-01-09,Jakarta,10,2,51116.0,36.55,4.45,683.5,3,1,0
2025-01-09,Jakarta,11,1,65685.0,54.4,4.6,672.0,3,1,0
2025-01-09,Jakarta,15,3,64238.333333333336,37.733333333333334,4.233333333333333,691.0,3,1,0
2025-01-09,Jakarta,16,3,51051.333333333336,45.23333333333333,4.3999999999999995,624.3333333333334,3,1,1
2025-01-09,Jakarta,19,1,35851.0,33.9,4.3,602.0,3,1,1
2025-01-09,Jakarta,21,2,38354.0,21.05,4.449999999999999,710.0,3,1,0
2025-01-09,Medan,5,1,34101.0,21.8,4.9,240.0,3,1,0
2025-01-09,Medan,19,1,30395.0,40.1,4.7,138.0,3,1,1
2025-01-09,Semarang,16,1,52209.0,41.0,4.4,121.0,3,1,1
2025-01-09,Surabaya,6,1,46266.0,45.5,4.4,208.0,3,1,1
2025-01-09,Surabaya,13,1,54939.0,18.5,4.6,271.0,3,1,0
2025-01-09,Surabaya,19,1,63146.0,36.1,4.9,158.0,3,1,1
2025-01-09,Surabaya,20,1,62776.0,38.1,4.3,275.0,3,1,0
2025-01-09,Surabaya,22,2,43555.5,35.45,4.5,280.5,3,1,0
2025-01-10,Bandung,8,1,48055.0,31.3,4.5,240.0,4,1,1
2025-01-10,Bandung,10,1,67519.0,33.1,4.5,345.0,4,1,0
2025-01-10,Bandung,17,4,51655.5,42.175,4.525,255.0,4,1,1
2025-01-10,Bandung,18,1,78474.0,60.9,4.4,242.0,4,1,1
2025-01-10,Jakarta,0,1,71327.0,45.3,4.2,730.0,4,1,0
2025-01-10,Jakarta,7,1,14230.0,23.0,4.8,637.0,4,1,1
2025-01-10,Jakarta,9,1,74257.0,52.4,4.6,642.0,4,1,1
2025-01-10,Jakarta,13,1,51258.0,41.7,4.5,683.0,4,1,0
2025-01-10,Jakarta,14,1,45069.0,31.9,4.3,714.0,4,1,0
2025-01-10,Jakarta,16,1,60220.0,49.7,4.3,650.0,4,1,1
2025-01-10,Jakarta,17,4,54694.25,44.725,4.275,613.25,4,1,1
2025-01-10,Jakarta,19,1,26395.0,13.1,4.7,613.0,4,1,1
2025-01-10,Medan,8,1,48664.0,28.2,4.8,120.0,4,1,1
2025-01-10,Medan,9,1,97980.0,65.7,4.0,166.0,4,1,1
2025-01-10,Medan,19,1,51186.0,45.5,4.8,125.0,4,1,1
2025-01-10,Semarang,14,1,64958.0,17.2,4.6,165.0,4,1,0
2025-01-10,Semarang,15,1,32829.0,46.6,4.8,173.0,4,1,0
2025-01-10,Semarang,21,1,15395.0,9.3,4.5,150.0,4,1,0
2025-01-10,Surabaya,7,1,35625.0,35.1,4.4,210.0,4,1,1
2025-01-10,Surabaya,8,1,78902.0,52.9,4.7,175.0,4,1,1
2025-01-10,Surabaya,12,1,49174.0,32.2,4.6,234.0,4,1,0
2025-01-10,Surabaya,13,1,45466.0,20.3,4.5,272.0,4,1,0
2025-01-11,Bandung,16,1,16815.0,31.4,4.9,216.0,5,1,1
2025-01-11,Bandung,21,1,22118.0,23.2,5.0,338.0,5,1,0
2025-01-11,Jakarta,0,1,61909.0,20.3,4.4,728.0,5,1,0
2025-01-11,Jakarta,8,1,26196.0,33.5,4.8,607.0,5,1,1
2025-01-11,Jakarta,12,1,11485.0,13.4,4.8,723.0,5,1,0
2025-01-11,Jakarta,14,1,52816.0,36.0,4.7,726.0,5,1,0
2025-01-11,Jakarta,15,1,27081.0,32.7,4.7,721.0,5,1,0
2025-01-11,Jakarta,17,1,18094.0,17.7,4.7,593.0,5,1,1
2025-01-11,Jakarta,21,1,66263.0,31.3,4.4,699.0,5,1,0
2025-01-11,Jakarta,23,1,40144.0,34.9,4.4,701.0,5,1,0
2025-01-11,Medan,14,2,44366.0,20.1,4.5,225.0,5,1,0
2025-01-11,Medan,23,1,32910.0,30.0,4.6,218.0,5,1,0
2025-01-11,Semarang,11,1,41295.0,10.0,4.7,151.0,5,1,0
2025-01-11,Semarang,14,1,45200.0,46.0,4.3,181.0,5,1,0
2025-01-11,Semarang,17,1,31802.0,28.0,4.5,73.0,5,1,1
2025-01-11,Semarang,22,1,41830.0,25.3,4.8,187.0,5,1,0
2025-01-11,Surabaya,8,1,46030.0,27.9,4.8,160.0,5,1,1
2025-01-11,Surabaya,9,3,15010.666666666666,23.96666666666667,4.733333333333333,166.0,5,1,1
2025-01-11,Surabaya,14,1,64584.0,41.9,4.6,234.0,5,1,0
2025-01-11,Surabaya,17,1,35941.0,41.6,4.5,180.0,5,1,1
2025-01-11,Surabaya,20,1,43354.0,8.6,4.9,267.0,5,1,0
2025-01-12,Bandung,6,1,35803.0,23.6,4.4,255.0,6,1,1
2025-01-12,Bandung,7,2,29891.5,28.799999999999997,4.65,244.5,6,1,1
2025-01-12,Bandung,11,1,29736.0,36.8,4.6,297.0,6,1,0
2025-01-12,Bandung,13,1,68093.0,30.9,4.5,300.0,6,1,0
2025-01-12,Bandung,16,1,53499.0,35.9,4.7,221.0,6,1,1
2025-01-12,Bandung,20,1,56866.0,25.4,4.8,323.0,6,1,0
2025-01-12,Jakarta,1,1,63507.0,39.1,4.2,730.0,6,1,0
2025-01-12,Jakarta,6,1,37378.0,30.5,4.3,606.0,6,1,1
2025-01-12,Jakarta,7,1,74808.0,64.5,4.2,637.0,6,1,1
2025-01-12,Jakarta,8,1,53839.0,52.3,4.4,607.0,6,1,1
2025-01-12,Jakarta,9,1,100340.0,65.6,4.2,641.0,6,1,1
2025-01-12,Jakarta,10,2,44698.5,38.900000000000006,4.4,702.5,6,1,0
2025-01-12,Jakarta,14,1,53124.0,52.6,4.4,701.0,6,1,0
2025-01-12,Jakarta,15,1,85277.0,49.1,4.4,716.0,6,1,0
2025-01-12,Jakarta,16,1,85967.0,57.1,3.7,619.0,6,1,1
2025-01-12,Jakarta,17,4,51078.0,38.05,4.5,617.5,6,1,1
2025-01-12,Jakarta,19,1,50184.0,32.1,4.7,631.0,6,1,1
2025-01-12,Jakarta,21,1,86952.0,54.3,4.3,728.0,6,1,0
2025-01-12,Jakarta,22,2,70678.5,39.4,4.550000000000001,696.0,6,1,0
2025-01-12,Jakarta,23,1,99563.0,47.0,4.4,723.0,6,1,0
2025-01-12,Medan,11,1,74257.0,66.6,4.1,220.0,6,1,0
2025-01-12,Medan,13,1,10000.0,19.1,5.0,190.0,6,1,0
2025-01-12,Medan,18,1,86562.0,57.3,4.0,130.0,6,1,1
2025-01-12,Medan,19,1,84113.0,38.6,4.8,153.0,6,1,1
2025-01-12,Medan,22,1,49365.0,51.5,4.5,210.0,6,1,0
2025-01-12,Semarang,10,1,64567.0,36.6,4.2,169.0,6,1,0
2025-01-12,Semarang,12,2,18973.5,7.45,4.9,186.0,6,1,0
2025-01-12,Semarang,21,1,58597.0,33.5,4.5,154.0,6,1,0
2025-01-12,Surabaya,8,2,56017.0,46.35,4.4,191.5,6,1,1
2025-01-12,Surabaya,12,1,79296.0,25.1,4.9,267.0,6,1,0
2025-01-13,Bandung,5,1,45148.0,37.0,4.9,312.0,0,1,0
2025-01-13,Bandung,7,2,40304.5,33.2,4.85,231.0,0,1,1
2025-01-13,Bandung,17,1,43228.0,36.4,4.4,265.0,0,1,1
2025-01-13,Jakarta,6,2,28757.5,38.75,4.75,615.5,0,1,1
2025-01-13,Jakarta,7,1,119481.0,72.8,4.4,603.0,0,1,1
2025-01-13,Jakarta,9,1,63646.0,46.4,4.4,601.0,0,1,1
2025-01-13,Jakarta,16,1,69972.0,59.5,4.3,615.0,0,1,1
2025-01-13,Jakarta,17,2,60247.5,52.95,4.35,616.5,0,1,1
2025-01-13,Jakarta,19,3,30946.0,36.86666666666667,4.5,629.0,0,1,1
2025-01-13,Jakarta,22,1,75327.0,50.9,4.4,689.0,0,1,0
2025-01-13,Jakarta,23,1,37353.0,26.1,4.7,672.0,0,1,0
2025-01-13,Medan,6,1,63244.0,44.5,4.7,153.0,0,1,1
2025-01-13,Medan,8,2,57281.0,26.15,4.95,141.5,0,1,1
2025-01-13,Medan,17,3,38921.666666666664,32.53333333333333,4.566666666666666,162.66666666666666,0,1,1
2025-01-13,Medan,18,1,16895.0,19.3,4.8,150.0,0,1,1
2025-01-13,Semarang,0,1,22649.0,16.2,4.6,174.0,0,1,0
2025-01-13,Semarang,7,1,44440.0,52.4,4.7,129.0,0,1,1
2025-01-13,Semarang,15,1,36143.0,20.1,4.4,171.0,0,1,0
2025-01-13,Semarang,16,1,47196.0,38.2,4.6,82.0,0,1,1
2025-01-13,Semarang,17,1,75534.0,55.4,4.1,90.0,0,1,1
2025-01-13,Semarang,20,1,35609.0,13.8,4.6,155.0,0,1,0
2025-01-13,Surabaya,15,2,35267.5,31.400000000000002,4.8,247.0,0,1,0
2025-01-13,Surabaya,19,1,46139.0,47.0,4.1,177.0,0,1,1
2025-01-13,Surabaya,20,1,51691.0,29.4,4.8,268.0,0,1,0
2025-01-14,Bandung,9,1,75970.0,45.6,4.5,224.0,1,1,1
2025-01-14,Bandung,10,1,74972.0,36.3,4.3,310.0,1,1,0
2025-01-14,Bandung,12,1,50035.0,40.4,4.6,323.0,1,1,0
2025-01-14,Bandung,16,1,55366.0,48.4,4.3,266.0,1,1,1
2025-01-14,Bandung,19,1,41289.0,42.6,4.5,233.0,1,1,1
2025-01-14,Bandung,21,1,72274.0,49.1,4.3,316.0,1,1,0
